throughput,avg_latency,pdr,total_time
524288,1.9073486328125E-06,1,0.00142049789428711
451000.430107527,2.21729278564453E-06,1,0.00318551063537598
399457.523809524,2.50339508056641E-06,1,0.00247406959533691
482103.908045977,2.07424163818359E-06,1,0.00157570838928223
476625.454545455,2.09808349609375E-06,1,0.000739097595214844
423667.070707071,2.36034393310547E-06,1,0.0028388500213623
499321.904761905,2.00271606445313E-06,1,0.000730752944946289
460912.527472527,2.16960906982422E-06,1,0.00220108032226563
471859.2,2.11927625868056E-06,0.9,0.0011293888092041
444102.776470588,2.25173102484809E-06,0.9,0.00286293029785156
451000.430107527,2.21729278564453E-06,1,0.00137615203857422
455902.608695652,2.19345092773438E-06,1,0.0031583309173584
432402.474226804,2.31266021728516E-06,1,0.00531673431396484
511500.487804878,1.95503234863281E-06,1,0.00111484527587891
451000.430107527,2.21729278564453E-06,1,0.0046687126159668
246723.764705882,4.05311584472656E-06,0.4,0.00348019599914551
505337.831325301,1.97887420654297E-06,1,0.000893354415893555
482103.908045977,2.07424163818359E-06,1,0.00213408470153809
460912.527472527,2.16960906982422E-06,1,0.00315952301025391
407213.980582524,2.45571136474609E-06,1,0.00165843963623047
476625.454545455,2.09808349609375E-06,1,0.00318408012390137
436906.666666667,2.288818359375E-06,1,0.00232338905334473
471270.112359551,2.12192535400391E-06,1,0.00213885307312012
446202.553191489,2.24113464355469E-06,1,0.00267291069030762
544714.805194805,1.83582305908203E-06,1,0.000704765319824219
399457.523809524,2.50339508056641E-06,0.6,0.00214409828186035
511500.487804878,1.95503234863281E-06,1,0.00201225280761719
505337.831325301,1.97887420654297E-06,1,0.00103855133056641
335544.32,2.98023223876953E-06,0.4,0.00101375579833984
455902.608695652,2.19345092773438E-06,1,0.00318336486816406
415277.623762376,2.40802764892578E-06,1,0.00419330596923828
431766.588235294,2.31606619698661E-06,0.7,0.00136685371398926
471270.112359551,2.12192535400391E-06,1,0.00288510322570801
279620.266666667,3.57627868652344E-06,0.3,0.00228190422058105
451000.430107527,2.21729278564453E-06,1,0.00348305702209473
432402.474226804,2.31266021728516E-06,1,0.00439929962158203
451000.430107527,2.21729278564453E-06,1,0.00315141677856445
471270.112359551,2.12192535400391E-06,1,0.00171995162963867
476625.454545455,2.09808349609375E-06,1,0.00142288208007813
371177.345132743,2.69412994384766E-06,1,0.00313401222229004
510118.054054054,1.96033053927951E-06,0.9,0.00209188461303711
471270.112359551,2.12192535400391E-06,1,0.00208353996276855
403298.461538462,2.47955322265625E-06,1,0.00269722938537598
476625.454545455,2.09808349609375E-06,1,0.00354146957397461
455902.608695652,2.19345092773438E-06,1,0.00133514404296875
399457.523809524,2.50339508056641E-06,1,0.000737667083740234
487709.76744186,2.05039978027344E-06,1,0.00138354301452637
482103.908045977,2.07424163818359E-06,1,0.00250244140625
446202.553191489,2.24113464355469E-06,1,0.00480484962463379
209715.2,4.76837158203125E-06,0.1,0.00277614593505859
411206.274509804,2.43186950683594E-06,1,0.00435948371887207
411206.274509804,2.43186950683594E-06,1,0.00435948371887207
471270.112359551,2.12192535400391E-06,1,0.00301337242126465
499321.904761905,2.00271606445313E-06,1,0.00152134895324707
466033.777777778,2.14576721191406E-06,0.8,0.00105738639831543
466033.777777778,2.14576721191406E-06,1,0.00348758697509766
482103.908045977,2.07424163818359E-06,1,0.00130224227905273
451000.430107527,2.21729278564453E-06,1,0.00258541107177734
403298.461538462,2.47955322265625E-06,1,0.00149941444396973
460912.527472527,2.16960906982422E-06,1,0.00221657752990723
